method,seed,endurance_min,mission_time_min,energy_Wh,completed,mean_comp_time,final_soc,fuel_used_Wh,fuel_remaining_Wh,mean_wind,max_wind
baseline_offline,19,123.41666666666667,38.416666666666664,239.75365981932555,True,,0.2120301562482038,250.02961790835664,-0.029617908356641465,2.1692235662475357,6.4146853609464785
aemcf,19,124.66666666666667,38.983333333333334,241.31209051527682,True,0.001915890709087312,0.1999806779877245,249.99600918633598,0.003990813664017878,2.170464730743141,6.4146853609464785
aemcf_nowind,19,124.25,38.68333333333333,241.33958857919876,True,0.002000904559222006,0.19992672414829737,249.970882723246,0.029117276753993337,2.16814164265715,6.4146853609464785
baseline_fixed,20,107.96666666666667,38.25,210.34177614009312,True,,0.19990732983064896,194.77226994363016,55.227730056369836,1.8631345472427574,5.911026206623905
baseline_offline,20,123.41666666666667,38.25,239.75471364008712,True,,0.21202691255238873,250.03067175349256,-0.030671753492555354,1.858014306249598,5.911026206623905
aemcf,20,123.6,38.6,241.39508907860898,True,0.0016917671887809944,0.1999774375947564,249.99004596971636,0.009954030283637394,1.8585783653885195,5.911026206623905
aemcf_nowind,20,124.25,38.68333333333333,241.33958857919876,True,0.0017042081876592445,0.19991223583089882,249.96175649425544,0.03824350574456048,1.8623438370722165,5.911026206623905
baseline_fixed,21,107.96666666666667,39.03333333333333,210.34572563949158,True,,0.19989324565486577,194.77456194412218,55.22543805587782,2.1542022101195077,5.767695181027671
baseline_offline,21,123.41666666666667,39.03333333333333,239.75866313948558,True,,0.2120147558601563,250.03206368248087,-0.03206368248086733,2.1362338937741847,6.171312343578757
aemcf,21,124.53333333333333,39.55,241.3389722974873,True,0.0016282248373928278,0.19993689516205945,250.00811137070673,-0.008111370706728849,2.1292597522319436,6.171312343578757
aemcf_nowind,21,124.25,38.68333333333333,241.33958857919876,True,0.001692570307310562,0.19998887340128124,249.9806552023213,0.019344797678712666,2.1310527237927652,6.171312343578757
baseline_fixed,22,107.96666666666667,38.166666666666664,210.3405792776622,True,,0.19991159792114999,194.77022934178905,55.22977065821095,1.907007783545377,5.592145059569438
baseline_offline,22,123.41666666666667,38.166666666666664,239.75351677765622,True,,0.21203059653527992,250.02717734071078,-0.027177340710778708,1.8572152160014348,5.592145059569438
aemcf,22,124.83333333333333,38.43333333333333,241.30020750817584,True,0.0016815852822429553,0.1999215275318023,249.97694894098555,0.023051059014449038,1.8682465231155336,5.592145059569438
aemcf_nowind,22,124.25,38.68333333333333,241.33958857919876,True,0.0016845909252851494,0.19991654161664776,249.96246942474048,0.03753057525952386,1.8642369223716353,5.592145059569438
baseline_fixed,23,107.96666666666667,39.63333333333333,210.34141011796405,True,,0.19990863508974166,194.7722668931333,55.22773310686671,1.8750799678668122,5.791971066996997
baseline_offline,23,123.41666666666667,39.63333333333333,239.75434761795805,True,,0.21202803918083515,250.03092964989978,-0.030929649899775313,1.9145678783587259,5.791971066996997
aemcf,23,124.2,40.0,241.34639627629946,True,0.001747409707461235,0.19996330477203414,249.98629251375255,0.013707486247454881,1.9260887441768182,5.791971066996997
aemcf_nowind,23,124.25,38.68333333333333,241.33958857919876,True,0.0016868626743125517,0.1999776893360446,249.97802859944713,0.0219714005528715,1.9266541561981032,5.791971066996997
baseline_fixed,24,107.96666666666667,39.016666666666666,210.34533646570767,True,,0.19989463347429048,194.7732257508836,55.2267742491164,2.024964786447295,6.447990856071553
baseline_offline,24,123.41666666666667,39.016666666666666,239.75827396570168,True,,0.21201595375017682,250.02958550229695,-0.029585502296953337,1.9946475405100248,6.447990856071553
aemcf,24,124.33333333333333,39.56666666666667,241.3450378886086,True,0.0016831122623323764,0.19993280339632036,249.98687706539027,0.01312293460972569,2.000635988100045,6.447990856071553
aemcf_nowind,24,124.25,38.68333333333333,241.33958857919876,True,0.0017563156297786629,0.1999806801891055,249.98719183708087,0.012808162919128563,1.9996951556092533,6.447990856071553
baseline_fixed,25,107.95,39.1,210.3167871279929,True,,0.19999644229872338,194.74857144130218,55.251428558697825,2.0357339833177925,6.04869191390909
baseline_offline,25,123.4,39.1,239.7297246279869,True,,0.21210382957367255,250.00439338764537,-0.00439338764536501,1.9863915599161777,6.04869191390909
aemcf,25,125.06666666666666,39.88333333333333,241.2654864514441,True,0.001721832452025517,0.1999476224449657,249.9604575679749,0.03954243202508678,1.977479073301856,6.04869191390909
aemcf_nowind,25,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0017413083230957758,0.19993149903148275,250.0291943663383,-0.02919436633828809,1.980442156199774,6.04869191390909
baseline_fixed,26,107.96666666666667,39.25,210.3453077670668,True,,0.19989473581553963,194.7763235408044,55.22367645919559,2.013471560482952,5.723480547570616
baseline_offline,26,123.4,39.25,239.72651610039415,True,,0.2121137055297191,250.00333250496405,-0.0033325049640495763,2.038868776929566,5.934584592344938
aemcf,26,125.35,39.68333333333333,241.24356810595268,True,0.001759490257811653,0.19995478853032003,249.97003757015796,0.029962429842044003,2.0449052186969507,5.934584592344938
aemcf_nowind,26,124.25,38.68333333333333,241.33958857919876,True,0.0018103935397718403,0.19999696576753617,249.9887612073374,0.011238792662595642,2.034082316732435,5.934584592344938
baseline_fixed,27,107.96666666666667,38.85,210.33887629566888,True,,0.19991767086744627,194.7699734820358,55.230026517964205,2.060432807367635,6.609559261692925
baseline_offline,27,123.41666666666667,38.85,239.75181379566288,True,,0.21203583837123954,250.02821944698402,-0.0282194469840249,2.084166474735399,6.609559261692925
aemcf,27,124.66666666666667,39.11666666666667,241.30538787874644,True,0.0016779025403742954,0.19994023783941764,249.97499631399756,0.025003686002435188,2.0758732747738318,6.609559261692925
aemcf_nowind,27,124.25,38.68333333333333,241.33958857919876,True,0.0017198659216633807,0.19995782684797334,249.97934776284015,0.020652237159850984,2.079651425925866,6.609559261692925
baseline_fixed,28,107.96666666666667,38.766666666666666,210.34399487209856,True,,0.19989941768573405,194.77394182252579,55.226058177474215,1.9965945962107337,6.930166548529554
baseline_offline,28,123.41666666666667,38.766666666666666,239.75693237209256,True,,0.21202008322051405,250.03232051957818,-0.032320519578178164,2.0294680979622304,6.930166548529554
aemcf,28,124.65,39.13333333333333,241.31162847009043,True,0.0016907524151626475,0.19991839349356724,249.97577597590583,0.024224024094166907,2.0282343006176484,6.930166548529554
aemcf_nowind,28,124.25,38.68333333333333,241.33958857919876,True,0.0018029154556666819,0.19997525044875816,249.98326977591,0.016730224089997137,2.0265434165537095,6.930166548529554
baseline_fixed,29,107.96666666666667,38.46666666666667,210.3427605283368,True,,0.19990381943713642,194.77230260104446,55.22769739895554,1.9487626696791465,5.449591426827138
baseline_offline,29,123.41666666666667,38.46666666666667,239.7556980283308,True,,0.21202388257220442,250.02990712076902,-0.029907120769024687,1.9759403483489797,5.449591426827138
